PO_Number,PO_Date,SKU,Product_Name,Supplier_ID,Warehouse_ID,Quantity_Ordered,Unit_Cost,Required_Date,Actual_Delivery_Date,PO_Status
PO-900095,2025-06-14,SKU-1012,Shrink Wrap Film,SUP-08,WH-MKS,268.0,99.81,2025-07-05,2025-07-02,Received
PO-900134,2025-03-26,SKU-1041,Cutting Tool Insert,SUP-05,WH-MKS,387.0,34.42,2025-04-02,2025-04-05,Received
PO-900199,2025-02-08,SKU-1020,Office Chair Ergonomic,SUP-04,WH-MKS,465.0,37.3,2025-02-15,2025-02-18,Received
PO-900032,2025-08-14,SKU-1024,Electric Kettle 1.7L,SUP-01,WH-JKT,229.0,42.33,2025-08-24,2025-08-24,Received
PO-900228,2025-11-20,SKU-1024,Electric Kettle 1.7L,SUP-01,WH-MKS,1270.0,42.33,2025-11-30,2025-12-02,Received
PO-900138,2025-07-18,SKU-1022,Stainless Steel Bottle 1L,SUP-10,WH-MDN,1979.0,177.91,2025-08-17,,In Transit
PO-900153,2025-12-05,SKU-1043,Machine Coolant 5L,SUP-05,WH-SMG,275.0,30.18,2026-01-04,2026-01-03,Received
PO-900253,2025-02-26,SKU-1017,Label Roll Thermal,SUP-09,WH-MDN,1365.0,190.85,2025-03-05,2025-03-08,Received
PO-900149,2025-07-30,SKU-1039,Safety Gloves Nitrile,SUP-04,WH-JKT,599.0,67.51,2025-09-13,2025-09-09,Received
PO-900106,2025-06-04,SKU-1041,Cutting Tool Insert,SUP-05,WH-MKS,277.0,34.42,2025-06-11,2025-06-11,Received
PO-900211,2025-02-21,SKU-1035,Led Driver 12V,SUP-06,WH-SMG,840.0,15.71,2025-03-23,,In Transit
PO-900106,2025-06-04,SKU-1041,Cutting Tool Insert,SUP-05,WH-MKS,277.0,34.42,2025-06-11,2025-06-11,Received
PO-900004,2025-11-02,SKU-1031,Lithium Battery Cell 18650,SUP-01,WH-MKS,791.0,242.3,2025-11-12,,In Transit
PO-900010,2025-02-25,SKU-1040,Air Filter Cartridge,SUP-01,WH-JKT,198.0,115.38,2025-03-04,2025-03-11,Received
PO-900175,2025-12-04,SKU-1008,Silicone Sealant Bulk,SUP-06,WH-JKT,1631.0,89.78,2026-01-18,2026-01-17,Received
PO-900110,2025-11-28,SKU-1043,Machine Coolant 5L,SUP-05,WH-SMG,122.0,30.18,2025-12-28,,In Transit
PO-900148,2025-12-12,SKU-1028,Ball Bearing 6205,SUP-01,WH-MDN,1081.0,101.55,2025-12-19,2025-12-18,Received
PO-900100,2025-06-19,SKU-1027,Standing Desk Converter,SUP-06,WH-JKT,279.0,178.08,2025-08-03,2025-07-31,Received
PO-900167,2025-05-12,SKU-1024,Electric Kettle 1.7L,SUP-01,WH-SBY,111.0,42.33,2025-05-22,2025-05-29,Received
PO-900024,2025-03-12,SKU-1000,Steel Coil 2Mm,SUP-02,WH-SBY,773.0,7.72,2025-03-22,,In Transit
PO-900022,2025-05-29,SKU-1002,Pvc Resin,SUP-09,WH-SMG,1741.0,50.91,2025-06-28,2025-07-04,Received
PO-900242,2025-06-08,SKU-1032,Motor Bracket Assembly,SUP-04,WH-SMG,1086.0,216.37,2025-06-18,2025-06-22,Received
PO-900052,2025-07-21,SKU-1007,Rubber Compound,SUP-04,WH-SBY,1036.0,216.82,2025-08-11,2025-08-20,Received
PO-900243,2025-08-15,SKU-1005,Polyethylene Pellets,SUP-01,WH-SMG,849.0,182.84,2025-09-05,2025-09-07,Received
PO-900274,2025-11-27,SKU-1033,Gear Set Helical,SUP-05,WH-SMG,1749.0,231.74,2025-12-11,2025-12-21,Received
PO-900045,2025-04-16,SKU-1033,Gear Set Helical,SUP-05,WH-MDN,798.0,231.74,2025-04-30,2025-05-01,Received
PO-900086,2025-02-04,SKU-1031,Lithium Battery Cell 18650,SUP-01,WH-MKS,426.0,242.3,2025-02-14,2025-02-16,Received
PO-900227,2025-03-16,SKU-1038,Industrial Lubricant 20L,SUP-07,WH-SBY,1411.0,164.86,2025-03-30,2025-04-07,Delayed
PO-900178,2025-07-19,SKU-1010,Corrugated Box Medium,SUP-04,WH-JKT,1747.0,171.63,2025-07-26,2025-07-23,Received
PO-900198,2025-05-28,SKU-1014,Carton Tape 48Mm,SUP-07,WH-JKT,917.0,149.71,2025-06-27,2025-07-03,Received
PO-900229,2025-02-10,SKU-1004,Copper Wire Roll,SUP-06,WH-SBY,803.0,26.9,2025-02-24,2025-02-23,Received
PO-900077,2025-11-14,SKU-1012,Shrink Wrap Film,SUP-08,WH-MDN,1799.0,99.81,2025-12-05,,In Transit
PO-900142,2025-09-22,SKU-1004,Copper Wire Roll,SUP-06,WH-SMG,870.0,26.9,2025-10-06,2025-10-16,Received
PO-900222,2025-06-21,SKU-1044,Conveyor Belt Roller,SUP-06,WH-SMG,839.0,52.09,2025-07-05,2025-07-06,Received
PO-900206,2025-05-21,SKU-1034,Pressure Valve 1/2In,SUP-08,WH-MDN,474.0,39.97,2025-05-28,,In Transit
PO-900214,2025-12-25,SKU-1024,Electric Kettle 1.7L,SUP-01,WH-SMG,847.0,42.33,2026-01-04,2026-01-13,Received
PO-900029,2025-09-05,SKU-1035,Led Driver 12V,SUP-06,WH-MKS,1489.0,15.71,2025-10-05,2025-10-08,Received
PO-900173,2025-07-09,SKU-1011,Corrugated Box Large,SUP-07,WH-MKS,1236.0,68.03,2025-08-08,2025-08-11,Received
PO-900057,2025-09-05,SKU-1035,Led Driver 12V,SUP-06,WH-MKS,1699.0,15.71,2025-10-05,,In Transit
PO-900152,2025-07-27,SKU-1031,Lithium Battery Cell 18650,SUP-01,WH-MKS,1254.0,242.3,2025-08-06,2025-08-12,Received
PO-900059,2025-12-03,SKU-1023,Bluetooth Speaker Mini,SUP-05,WH-MKS,1341.0,168.61,2025-12-17,2025-12-27,Received
PO-900158,2025-09-25,SKU-1012,Shrink Wrap Film,SUP-08,WH-MKS,1501.0,99.81,2025-10-16,2025-10-18,Received
PO-900080,2025-02-08,SKU-1041,Cutting Tool Insert,SUP-05,WH-SBY,455.0,34.42,2025-02-15,2025-02-22,Received
PO-900176,2025-03-24,SKU-1042,Hydraulic Oil Iso 46,SUP-03,WH-JKT,539.0,110.39,2025-04-07,2025-04-11,Received
PO-900280,2025-10-05,SKU-1015,Poly Mailer Bag,SUP-01,WH-SMG,1029.0,170.55,2025-11-04,2025-10-31,Received
PO-900204,2025-12-13,SKU-1005,Polyethylene Pellets,SUP-01,WH-MDN,1357.0,182.84,2026-01-03,2025-12-30,Received
PO-900018,2025-06-19,SKU-1028,Ball Bearing 6205,SUP-01,WH-SBY,105.0,101.55,2025-06-26,2025-06-22,Received
PO-900203,2025-07-02,SKU-1037,Timing Belt 120T,SUP-07,WH-SBY,1695.0,31.29,2025-07-12,2025-07-09,Received
PO-900041,2025-10-21,SKU-1026,Wireless Mouse,SUP-10,WH-MDN,280.0,196.98,2025-11-11,2025-11-20,Received
PO-900027,2025-09-02,SKU-1042,Hydraulic Oil Iso 46,SUP-03,WH-MDN,1428.0,110.39,2025-09-16,2025-09-26,Received
PO-900015,2025-02-24,SKU-1007,Rubber Compound,SUP-04,WH-MDN,506.0,216.82,2025-03-17,2025-03-22,Received
PO-900002,2025-03-08,SKU-1018,Strapping Band Pp,SUP-10,WH-JKT,885.0,50.93,2025-03-18,2025-03-22,Received
PO-900156,2025-12-18,SKU-1010,Corrugated Box Medium,SUP-04,WH-SMG,1988.0,171.63,2025-12-25,2025-12-28,Received
PO-900074,2025-04-25,SKU-1033,Gear Set Helical,SUP-05,WH-MKS,896.0,231.74,2025-05-09,2025-05-08,Received
PO-900056,2025-09-29,SKU-1000,Steel Coil 2Mm,SUP-02,WH-JKT,1233.0,7.72,2025-10-09,2025-10-19,Received
PO-900084,2025-11-12,SKU-1038,Industrial Lubricant 20L,SUP-07,WH-SMG,1104.0,164.86,2025-11-26,2025-12-04,Received
PO-900221,2025-05-11,SKU-1013,Pallet Wood Standard,SUP-09,WH-MDN,1818.0,135.44,2025-06-01,2025-06-07,Received
PO-900269,2025-01-22,SKU-1000,Steel Coil 2Mm,SUP-02,WH-MKS,1704.0,7.72,2025-02-01,2025-02-08,Received
PO-900240,2025-10-04,SKU-1042,Hydraulic Oil Iso 46,SUP-03,WH-SBY,1310.0,110.39,2025-10-18,2025-10-23,Received
PO-900113,2025-06-26,SKU-1043,Machine Coolant 5L,SUP-05,WH-SBY,945.0,30.18,2025-07-26,2025-08-05,Received
PO-900034,2025-04-25,SKU-1034,Pressure Valve 1/2In,SUP-08,WH-SMG,1163.0,39.97,2025-05-02,2025-05-06,Received
PO-900272,2025-11-17,SKU-1045,Spare Fuse 10A,SUP-02,WH-JKT,222.0,159.12,2025-11-24,2025-11-25,Received
PO-900230,2025-05-30,SKU-1039,Safety Gloves Nitrile,SUP-04,WH-SMG,1339.0,67.51,2025-07-14,2025-07-20,Received
PO-900117,2025-02-04,SKU-1040,Air Filter Cartridge,SUP-01,WH-SMG,301.0,115.38,2025-02-11,2025-02-10,Received
PO-900031,2025-03-08,SKU-1043,Machine Coolant 5L,SUP-05,WH-MDN,1984.0,30.18,2025-04-07,2025-04-10,Received
PO-900219,2025-06-11,SKU-1032,Motor Bracket Assembly,SUP-04,WH-MDN,714.0,216.37,2025-06-21,2025-06-21,Received
PO-900169,2025-04-16,SKU-1039,Safety Gloves Nitrile,SUP-04,WH-SMG,937.0,67.51,2025-05-31,2025-06-01,Received
PO-900013,2025-09-24,SKU-1040,Air Filter Cartridge,SUP-01,WH-SMG,1375.0,115.38,2025-10-01,2025-10-06,Received
PO-900248,2025-07-30,SKU-1012,Shrink Wrap Film,SUP-08,WH-MKS,995.0,99.81,2025-08-20,2025-08-22,Received
PO-900237,2025-08-15,SKU-1017,Label Roll Thermal,SUP-09,WH-SBY,368.0,190.85,2025-08-22,2025-08-26,Received
PO-900141,2025-12-01,SKU-1023,Bluetooth Speaker Mini,SUP-05,WH-MDN,848.0,168.61,2025-12-15,2025-12-20,Received
PO-900068,2025-10-20,SKU-1035,Led Driver 12V,SUP-06,WH-MDN,1480.0,15.71,2025-11-19,,In Transit
