SKU,Product_Name,Category,Unit_of_Measure,Unit_Cost,Unit_Price,Primary_Supplier_ID,Lead_Time_Days,Reorder_Point,Safety_Stock,Current_Stock_on_Hand
SKU-1000,Steel Coil 2mm,Raw Material,KG,7.72,10.82,SUP-02,10,121,42,1116
SKU-1001,Aluminum Sheet 3mm,RAW MATERIAL,KG,148.24,187.89,SUP-02,7,161,40,54
SKU-1002,PVC Resin,Raw Material,KG,50.91,81.83,SUP-09,30,264,64,569
SKU-1003,Cotton Yarn,Raw Material,KG,190.06,254.26,SUP-01,21,224,57,440
SKU-1004,Copper Wire Roll,Raw Material,KG,26.9,39.25,SUP-06,14,483,130,541
SKU-1005,polyethylene pellets,Raw Material,KG,182.84,282.47,SUP-01,21,90,28,740
SKU-1006,Stainless Steel Rod,Raw Material,KG,49.28,63.49,SUP-10,45,166,59,163
SKU-1007,Rubber Compound,Raw Material,KG,216.82,316.36,SUP-04,21,375,138,333
SKU-1008,Silicone Sealant Bulk,Raw Material,KG,89.78,145.32,SUP-06,45,399,132,$350
SKU-1009,Timber Plank Oak,Raw Material,KG,182.69,244.78,SUP-09,21,188,75,1140
SKU-1010,Corrugated Box Medium,Packaging,PCS,171.63,294.1,SUP-04,7,167,61,646
SKU-1011,Corrugated Box Large,Packaging,PCS,68.03,92.93,SUP-07,30,498,171,435
SKU-1012,Shrink Wrap Film,Packaging,PCS,99.81,174.97,SUP-08,21,123,31,505
SKU-1013,Pallet Wood Standard,Packaging,PCS,135.44,224.95,SUP-09,21,348,97,449
SKU-1014,Bubble Wrap Roll,Packaging,PCS,,166.56,SUP-03,7,490,109,327
SKU-1015,Carton Tape 48mm,Packaging,PCS,149.71,218.82,SUP-07,30,289,88,1133
SKU-1016,Poly Mailer Bag,Packaging,PCS,170.55,223.93,SUP-01,30,434,110,696
SKU-1017,Foam Insert Sheet,Packaging,PCS,74.43,99.51,SUP-02,7,419,157,539
SKU-1018,Label Roll Thermal,Packaging,PCS,190.85,291.85,SUP-09,7,495,161,1039
SKU-1019,Strapping Band PP,Packaging,PCS,50.93,74.14,SUP-10,10,326,127,1086
SKU-1020,Cordless Drill 18V,Finished Goods,PCS,245.59,372.99,SUP-01,7,235,88,629
SKU-1021,Office Chair Ergonomic,Finished Goods,PCS,37.3,64.64,SUP-04,7,93,32,141
SKU-1022,LED Desk Lamp,Finished Goods,PCS,309.85,409.19,SUP-09,21,331,77,1080
SKU-1023,Stainless Steel Bottle 1L,Finished Goods,PCS,177.91,243.11,SUP-10,30,436,151,411
SKU-1024,Bluetooth Speaker Mini,Finished Goods,PCS,168.61,273.05,SUP-05,14,274,104,924
SKU-1025,Ceiling Fan 56in,Finished Goods,PCS,,141.94,SUP-02,7,351,109,451
SKU-1026,Electric Kettle 1.7L,Finished Goods,PCS,42.33,67.61,SUP-01,10,84,32,676
SKU-1027,Air Purifier HEPA,Finished Goods,PCS,212.95,298.8,SUP-02,21,159,49,1169
SKU-1028,Wireless Mouse,Finished Goods,PCS,196.98,331.23,SUP-10,21,147,32,Rp 882
SKU-1029,Standing Desk Converter,Finished Goods,PCS,178.08,268.34,SUP-06,45,77,26,201
SKU-1030,BALL BEARING 6205,Component,PCS,101.55,145.89,SUP-01,7,177,42,1098
SKU-1031,Hydraulic Pump Seal,Component,PCS,36.34,49.09,SUP-08,21,177,66,154
SKU-1032,Circuit Board Rev C,Component,PCS,202.29,348.1,SUP-08,7,75,25,1107
SKU-1033,Lithium Battery Cell 18650,Component,PCS,242.3,426.33,SUP-01,10,135,38,985
SKU-1034,Motor Bracket Assembly,Component,PCS,216.37,377.86,SUP-04,10,244,49,799
SKU-1035,Gear Set Helical,Component,PCS,231.74,389.75,SUP-05,14,266,90,1138
SKU-1036,PRESSURE VALVE 1/2IN,Component,PCS,39.97,56.49,SUP-08,7,346,120,124
SKU-1037,led driver 12v,Component,PCS,15.71,24.69,SUP-06,30,486,149,116
SKU-1038,Rubber Gasket Set,Component,PCS,21.41,28.95,SUP-09,30,84,28,481
SKU-1039,Timing Belt 120T,Component,PCS,31.29,54.43,SUP-07,10,346,110,167
SKU-1040,Industrial Lubricant 20L,MRO Supplies,PCS,164.86,257.33,SUP-07,14,183,44,643
SKU-1041,Safety Gloves Nitrile,MRO Supplies,PCS,67.51,89.25,SUP-04,45,203,59,148
SKU-1042,AIR FILTER CARTRIDGE,MRO Supplies,PCS,115.38,207.59,SUP-01,7,87,27,1036
SKU-1043,Cutting Tool Insert,MRO Supplies,PCS,34.42,49.63,SUP-05,7,500,124,583
SKU-1044,Hydraulic Oil ISO 46,MRO Supplies,PCS,110.39,170.97,SUP-03,14,363,144,1083
SKU-1045,Welding Rod E6013,MRO Supplies,PCS,,260.41,SUP-01,45,103,40,275
SKU-1046,Machine Coolant 5L,MRO Supplies,PCS,30.18,39.5,SUP-05,30,129,33,431
SKU-1047,Conveyor Belt Roller,MRO Supplies,PCS,52.09,83.28,SUP-06,14,308,92,104
SKU-1048,Spare Fuse 10A,MRO Supplies,PCS,159.12,271.48,SUP-02,7,51,14,267
SKU-1049,Cleaning Solvent Industrial,MRO Supplies,PCS,,62.18,SUP-05,45,268,84,229
SKU-1049,Cleaning Solvent Industrial,MRO Supplies,PCS,,62.18,SUP-05,45,268,84,229
SKU-1035,Gear Set Helical,Component,PCS,231.74,389.75,SUP-05,14,266,90,1138
