Order_ID,Order_Date,SKU,Product_Name,Customer_Region,Warehouse_ID,Quantity_Sold,Unit_Price,Unit_Cost,Order_Status
SO-500542,2025-05-14 00:00:00,SKU-1019,Strapping Band PP,West Java,WH-SBY,212,74.14,50.93,Delivered
SO-500595,2025-09-25 00:00:00,SKU-1024,Bluetooth Speaker Mini,Sulawesi,WH-MDN,248,273.05,168.61,Delivered
SO-500262,2025-09-13 00:00:00,SKU-1011,Corrugated Box Large,Sumatra,WH-MKS,292,92.93,68.03,Delivered
SO-500291,2025-08-28 00:00:00,SKU-1032,Circuit Board Rev C,East Java,WH-MDN,259,348.1,202.29,Delivered
SO-500135,2025-06-01 00:00:00,SKU-1030,Ball Bearing 6205,Bali & Nusa Tenggara,WH-SMG,63,145.89,,Delivered
SO-500153,2025-01-02 00:00:00,SKU-1038,RUBBER GASKET SET,Bali & Nusa Tenggara,,79,28.95,21.41,Returned
SO-500283,2025-07-27 00:00:00,SKU-1043,Cutting Tool Insert,Sumatra,WH-SMG,42,49.63,34.42,Delivered
SO-500057,2025-09-07 00:00:00,SKU-1011,Corrugated Box Large,East Java,WH-SBY,137,92.93,68.03,Delivered 
SO-500562,2025-10-05 00:00:00,SKU-1031,Hydraulic Pump Seal,Central Java,WH-SMG,256,49.09,36.34,Delivered
SO-500483,2025-08-08 00:00:00,SKU-1000,Steel Coil 2mm,Kalimantan,WH-SBY,72,10.82,7.72,Delivered
SO-500404,2025-07-23 00:00:00,SKU-1045,Welding Rod E6013,East Java,WH-JKT,88,260.41,167.46,Delivered
SO-500312,03.30.2025,SKU-1020,Cordless Drill 18V,Sulawesi,,180,Rp 372.99,245.59,Delivered
SO-500327,2025-03-31 00:00:00,SKU-1002,PVC Resin,Bali & Nusa Tenggara,WH-MDN,95,81.83,50.91,Delivered
SO-500372,2025-06-19 00:00:00,SKU-1013,Pallet Wood Standard,Sumatra,WH-JKT,194,224.95,135.44,Delivered
SO-500428,2025-04-03 00:00:00,SKU-1034,Motor Bracket Assembly,West Java,WH-MKS,241,377.86,216.37,Cancelled
